repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
DescentDevelopers/Descent3,910,83,4.5,1045,8188,361939,466503
rizinorg/rizin,853,126,7,2723,18040,82424,775169
xroche/httrack,626,362,4.1,164,672,9541,47434
F-Stack/f-stack,576,147,5.2,2993,35147,1226972,4671091
ApsaraDB/PolarDB-for-PostgreSQL,535,-1,5.4,3208,20098,517121,1238989
RfidResearchGroup/proxmark3,457,1004,6.8,1134,9246,89255,326983
unicode-org/icu,349,1629,8.7,814,7444,240263,987379
HarbourMasters/Shipwright,310,-1,5.9,1302,13511,21321,495062
acl-dev/acl,297,679,4.1,526,9804,179767,511394
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20850,1679506,5601445
coronalabs/corona,241,364,3.7,763,9060,340785,1046627
steveicarus/iverilog,231,945,5.9,414,5138,38856,176649
openvenues/libpostal,213,-1,3.3,185,1184,6733,583235
containers/crun,213,629,7.6,278,1181,2956,28092
surge-synthesizer/surge,204,13,5,602,5923,108914,351789
iree-org/iree,185,19,5.3,5372,84445,80766,334461
BespokeSynth/BespokeSynth,179,890,6.3,222,3276,29751,187133
ptitSeb/box64,177,0,4.3,1704,29270,39741,245922
WolfireGames/overgrowth,161,519,4.1,779,4065,384426,2331877
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
CloudCompare/CloudCompare,132,235,5.6,632,5134,71123,272073
OpenXRay/xray-16,126,69,4.2,881,15711,121503,745472
ptitSeb/box86,120,0,4.7,360,5085,35357,152499
espeak-ng/espeak-ng,120,174,5.3,105,546,4988,45471
facebook/igl,119,-1,6.6,879,6250,13875,77952
hanwckf/rt-n56u,116,332,2.5,230,2417,3308594,16228099
facebookresearch/habitat-sim,112,35,8.3,888,9078,33161,118846
TASEmulators/desmume,105,-1,4.1,659,6100,121202,461752
joncampbell123/dosbox-x,102,1123,5.8,716,5302,323213,1732446
sleuthkit/sleuthkit,101,532,6.6,396,2439,94725,198559
acassen/keepalived,101,182,5.8,179,1372,11124,67455
vifm/vifm,95,-1,6.1,124,3753,28558,175715
util-linux/util-linux,84,-1,7.5,565,4673,34186,174364
iqiyi/dpvs,81,158,5.9,147,1149,19614,119904
varnishcache/varnish-cache,75,345,5.8,1348,2996,27055,110628
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,390881,1114647
openvswitch/ovs,66,-1,5.8,630,9012,64968,310808
liuyubobobo/Play-Leetcode,66,59,3.8,85,4067,27268,124301
OGRECave/ogre,65,565,6.1,371,5892,124315,362780
li-plus/chatglm.cpp,63,-1,5.5,279,2880,218,4108
sysstat/sysstat,61,46,6.4,102,703,23772,49388
libjpeg-turbo/libjpeg-turbo,60,182,6.5,140,770,18691,62698
cmusphinx/pocketsphinx,59,215,4.8,149,1210,23226,57773
parallel101/course,57,251,3.7,23,1061,34720,146900
projectM-visualizer/projectm,54,0,5.9,77,617,19016,76652
geany/geany,54,-1,6.5,614,5903,35851,238270
AlexandreRouma/SDRPlusPlus,53,627,4.9,148,1641,23953,120032
thedmd/imgui-node-editor,50,49,4.3,123,1166,11600,60634
seladb/PcapPlusPlus,50,621,6.8,197,1457,29421,93938
dankamongmen/notcurses,50,-1,6,191,1085,7725,94238
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.8,260,2548,2167,19689
openai/retro,44,539,2.6,230,2355,250889,897543
RsyncProject/rsync,44,309,6.7,174,743,9464,45946
cmu-db/bustub,40,738,5.8,133,2148,54447,209501
rime/librime,39,32,5.6,26,835,3053,31700
DynamoRIO/dynamorio,38,14,5,693,4951,184381,522798
xelatihy/yocto-gl,37,125,3.8,111,871,36546,166626
openthread/openthread,37,2,8.4,322,1992,196662,366021
saki4510t/UVCCamera,36,-1,3.5,104,549,35513,107860
Sunzxyong/Tiny,36,-1,2.4,105,551,14354,43889
pytorch/glow,35,0,6.7,383,4328,44516,230870
melonDS-emu/melonDS,35,41,5.2,259,2376,20968,176320
karlstav/cava,35,33,5.6,16,56,637,5201
grame-cncm/faust,35,114,4.6,53,506,69678,278001
RavenSystem/esp-homekit-devices,35,844,3.8,411,2902,252512,1239922
PixarAnimationStudios/OpenSubdiv,34,267,4.8,78,754,36086,138108
IoLanguage/io,34,380,4.7,49,890,11470,38943
root-project/root,33,203,3.1,135,803,1307106,5006589
texstudio-org/texstudio,32,0,6,389,3720,28536,160375
nanomsg/nng,31,746,6,98,1812,10384,75864
lakinduakash/linux-wifi-hotspot,31,6,5.3,3,42,437,1582
ketoo/NoahGameFrame,31,315,4.8,197,2544,51628,228696
apache/kvrocks,31,-1,5.7,523,7017,7830,52222
PowerDNS/pdns,29,809,7.3,227,2788,26476,206399
FRRouting/frr,29,-1,5.1,2471,18480,106509,663033
leejet/stable-diffusion.cpp,28,194,5.6,134,808,8368,570196
dvorka/hstr,28,54,5,15,81,1048,6065
FLIF-hub/FLIF,27,101,4.5,49,269,4997,32774
kohler/gifsicle,26,88,4.3,43,321,2282,15666
jacksonliam/mjpg-streamer,26,6,3.6,17,82,8119,31990
DefTruth/lite.ai.toolkit,26,56,5,4,292,6378,79981
harfbuzz/harfbuzz,25,595,7.6,13,147,30059,130901
Sysinternals/ProcDump-for-Linux,25,-1,6,31,327,7668,168191
p-ranav/argparse,24,9,4.8,108,409,819,11120
cycfi/elements,24,0,5.4,15,462,8932,31912
PurpleI2P/i2pd,22,224,6.1,119,1410,3298,55155
