repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
rizinorg/rizin,850,126,7,2687,17794,82417,775339
xroche/httrack,626,362,4.1,164,672,9541,47434
F-Stack/f-stack,576,476,4.7,2993,35147,1226972,4671085
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,5.6,3208,20102,517121,1238991
RfidResearchGroup/proxmark3,461,-1,6.2,1136,9228,89359,326660
unicode-org/icu,350,1624,8.8,814,7437,232147,953680
acl-dev/acl,295,679,4.4,526,9802,179615,510586
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
coronalabs/corona,239,-1,3.9,763,9060,340776,1046579
steveicarus/iverilog,228,947,5.9,414,5137,38845,176598
openvenues/libpostal,213,-1,3.4,185,1184,6733,583235
containers/crun,212,629,7.7,278,1181,2957,28044
surge-synthesizer/surge,204,13,5.3,601,5905,108821,350988
BespokeSynth/BespokeSynth,195,891,6.2,217,3245,29129,181572
ptitSeb/box64,172,0,4.3,1689,29211,39179,221515
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
CloudCompare/CloudCompare,132,235,5.5,632,5133,71115,271974
OpenXRay/xray-16,126,69,4.1,895,15482,124907,758280
espeak-ng/espeak-ng,124,167,5.2,104,501,4981,45452
ptitSeb/box86,119,0,4.9,356,5083,35282,151970
hanwckf/rt-n56u,115,323,2.5,223,2361,3308594,16228099
facebook/igl,109,-1,6.6,759,5341,13428,75689
TASEmulators/desmume,105,-1,4,659,6100,121197,461733
sleuthkit/sleuthkit,102,525,7,396,2436,93686,196210
joncampbell123/dosbox-x,102,1123,6.5,716,5308,323097,1730470
acassen/keepalived,101,182,5.8,179,1369,11132,67423
vifm/vifm,94,-1,6.1,125,3747,28503,175231
util-linux/util-linux,85,-1,7.3,565,4654,34145,173678
iqiyi/dpvs,81,158,5.4,147,1149,19614,119904
varnishcache/varnish-cache,75,345,5.7,1344,2985,26911,110239
openvswitch/ovs,72,-1,5.8,629,9009,64949,310548
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,390881,1114532
liuyubobobo/Play-Leetcode,66,150,,,,,
OGRECave/ogre,65,562,6.1,370,5889,124363,362248
ntop/PF_RING,63,35,4.3,323,1983,152650,525922
sysstat/sysstat,61,46,5.6,103,700,23634,49311
libjpeg-turbo/libjpeg-turbo,58,182,6.5,138,770,18683,62699
cmusphinx/pocketsphinx,58,215,4.7,149,1210,23226,57773
projectM-visualizer/projectm,54,0,5.9,77,616,18953,76609
parallel101/course,54,243,1.8,20,954,34039,136956
