repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
openvswitch/ovs,66,-1,5.8,629,9011,64970,310739
liuyubobobo/Play-Leetcode,66,42,3.8,85,4067,27268,124301
OGRECave/ogre,65,566,5.7,370,5889,124365,362311
sysstat/sysstat,61,46,6.4,102,703,23752,49369
libjpeg-turbo/libjpeg-turbo,60,182,6.3,139,770,18691,62698
cmusphinx/pocketsphinx,59,215,4.8,149,1210,23226,57773
projectM-visualizer/projectm,54,0,6,77,616,18951,76604
parallel101/course,54,240,3.2,20,955,34216,139012
AlexandreRouma/SDRPlusPlus,53,627,5,148,1639,23954,120030
geany/geany,52,-1,6.7,613,5892,35806,238204
thedmd/imgui-node-editor,50,49,4.3,123,1166,11600,60634
seladb/PcapPlusPlus,50,595,6.2,194,1427,28513,91455
dankamongmen/notcurses,50,-1,6.1,190,1087,7707,94185
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.8,260,2548,2167,19689
openai/retro,44,539,2.6,230,2355,250889,897543
cmu-db/bustub,40,737,6.3,133,2148,54447,209501
rime/librime,39,0,5.4,26,835,3053,31642
DynamoRIO/dynamorio,38,14,5,692,4948,183764,520442
xelatihy/yocto-gl,37,125,3.8,111,871,36546,166626
openthread/openthread,37,2,8.4,322,1992,195586,360889
saki4510t/UVCCamera,36,-1,3.5,104,549,35513,107860
Sunzxyong/Tiny,36,-1,2.4,105,551,14354,43889
pytorch/glow,35,0,6.7,383,4328,44516,230870
karlstav/cava,35,33,5.9,16,56,637,5190
grame-cncm/faust,35,114,4.6,53,506,69657,277979
RavenSystem/esp-homekit-devices,35,842,3.5,411,2902,252416,1238187
PixarAnimationStudios/OpenSubdiv,34,267,5.3,78,754,36086,138108
IoLanguage/io,34,381,4.8,49,890,11470,38943
root-project/root,33,203,3.2,135,803,1306632,5004174
texstudio-org/texstudio,32,0,6.1,389,3720,28535,160335
melonDS-emu/melonDS,31,41,5.2,259,2361,19888,166761
lakinduakash/linux-wifi-hotspot,31,6,5.4,3,42,437,1581
ketoo/NoahGameFrame,31,315,4.8,197,2544,51628,228696
apache/kvrocks,30,-1,5.8,516,6858,7744,50814
nanomsg/nng,29,743,6,98,1807,10351,75589
PowerDNS/pdns,29,1785,7.3,227,2786,26449,205786
leejet/stable-diffusion.cpp,28,194,5.6,134,808,8367,570185
dvorka/hstr,28,54,5.1,15,81,1048,6065
li-plus/chatglm.cpp,27,144,5.5,137,1278,187,4329
FLIF-hub/FLIF,27,101,4.5,49,269,4997,32774
kohler/gifsicle,26,88,4.6,43,321,2282,15666
jacksonliam/mjpg-streamer,26,6,3.6,17,82,8119,31990
DefTruth/lite.ai.toolkit,26,56,6,4,292,6378,79981
Sysinternals/ProcDump-for-Linux,25,-1,6.2,31,327,7668,168191
cycfi/elements,24,0,5.3,14,459,4845,31207
SerenityOS/jakt,23,0,5.9,254,2078,3587,161749
PurpleI2P/i2pd,22,212,5.7,119,1401,3286,54890
idealvin/coost,21,218,4.3,33,417,4464,41034
BinomialLLC/basis_universal,21,732,3,223,1211,20660,120364
sustrik/libmill,20,67,4.5,22,337,2126,12281
gqrx-sdr/gqrx,20,0,5.4,21,450,6385,26205
zlgopen/awtk,19,0,5.8,283,2065,288113,860759
microsoft/verona,19,246,7,52,613,634,4542
harfbuzz/harfbuzz,19,-1,7.5,186,993,30031,130722
wondertrader/wondertrader,18,9,2.4,167,1951,93452,228723
ton-blockchain/ton,18,0,4.6,666,12936,34654,302174
openssh/openssh-portable,18,-1,6.3,264,2047,21375,121768
k4zmu2a/SpaceCadetPinball,18,190,3.8,147,1314,10712,64571
homenc/HElib,17,290,5.4,31,749,25665,86307
signalwire/freeswitch,16,666,7.2,438,3651,168803,1138892
phoboslab/wipeout-rewrite,16,32,5.1,13,217,3635,26157
openjdk/jfx,16,-1,6.7,302,1478,937000,2956956
ntop/PF_RING,15,604,4.6,499,2527,164188,578648
GarageGames/Torque3D,15,203,2.8,296,1993,385074,1346472
rubinius/rubinius,14,313,3.7,56,552,46849,539570
premake/premake-core,14,0,6.2,190,1363,92049,230556
microsoft/SEAL,14,250,6.9,125,999,10710,49107
buaazp/zimg,14,42,3.5,39,343,2775,11754
xiph/rnnoise,13,16,5.3,6,56,1100,5806
westes/flex,13,40,7.5,30,198,3055,7191
lbryio/lbrycrd,13,75,3.6,35,154,24935,147706
janet-lang/janet,13,-1,6.1,77,912,3613,32010
AcademySoftwareFoundation/openvdb,13,154,7,17,289,45815,304587
luau-lang/luau,12,4,6.6,920,6426,13940,191148
ggerganov/imtui,11,131,3.8,118,788,744,9720
SuperTux/supertux,11,35,5.7,110,3130,24382,114122
KwaiAppTeam/KOOM,10,14,3.9,7,367,28657,109333
Genivia/ugrep,10,258,4.4,151,529,11060,70638
zhaojh329/rtty,9,5,4.3,18,95,531,2155
schwabe/ics-openvpn,9,69,3.6,24,107,5317,24470
nuttyartist/notes,9,0,6,44,550,1643,18137
lightvector/KataGo,9,505,5,180,1277,18481,126704
hpjansson/chafa,9,57,6.8,76,984,11177,46345
google/zopfli,9,274,6,47,319,3809,10447
ceres-solver/ceres-solver,9,-1,5.6,249,2021,48208,90569
Legrandin/pycryptodome,9,28,5.2,32,203,4418,44744
blackmagic-debug/blackmagic,8,-1,6.3,28,1029,15428,44386
apple/swift-corelibs-libdispatch,8,57,7.7,34,515,14910,50315
kpu/kenlm,7,499,4.8,18,487,6752,33651
NVIDIAGameWorks/Falcor,7,0,4.5,226,3293,45198,143742
ztxz16/fastllm,6,337,4.3,52,342,2199,36307
xoseperez/espurna,6,68,4.8,63,702,8955,83660
openbsd/src,6,102,2.8,28,205,3518004,17498986
lastpass/lastpass-cli,6,41,5.9,21,304,2195,10175
facebook/mysql-5.6,6,153,7.8,18,138,1142275,3583009
collectd/collectd,6,306,5.7,175,1417,21435,123842
zrax/pycdc,5,10,5.3,11,82,253,9264
opentrack/opentrack,5,0,3.9,12,354,3829,32534
mikke89/RmlUi,5,222,5.2,100,1290,37837,124439
ivmai/bdwgc,5,3,5,7,58,10593,41428
dev-cafe/cmake-cookbook,5,59,3.5,0,55,866,10719
dblalock/bolt,5,88,3.8,17,65,66182,262286
chiteroman/PlayIntegrityFix,5,16,5.4,13,75,6118,35758
Lienol/openwrt,5,120,6,9,103,60126,223162
the-tcpdump-group/libpcap,4,69,6.3,44,388,28397,44357
stephane/libmodbus,4,0,4.6,8,105,834,5453
qt-creator/qt-creator,4,0,5,9,143,193178,1579235
praydog/UEVR,4,22,5.5,16,515,13693,99044
namazso/OpenHashTab,4,23,3.8,8,132,4104,5522
intel/pcm,4,290,9.1,92,895,4282,41662
ihhub/fheroes2,4,177,6.1,328,3229,19020,136980
fragglet/c-algorithms,4,8,4.2,1,148,4479,7194
blechschmidt/massdns,4,16,5.5,7,57,221,6162
akheron/jansson,4,45,6.8,16,185,1400,14027
abishekvashok/cmatrix,4,3,4.8,1,6,61,748
Haivision/srt,4,0,5.3,60,626,15785,57338
raboof/nethogs,3,-1,6.3,3,87,880,3023
pistacheio/pistache,3,-1,5.8,9,286,2608,33868
jmpews/Dobby,3,1,4.2,9,40,1687,17410
google/highway,3,-1,9.1,43,486,13969,105048
farbrausch/fr_public,3,6,1.8,3,28,73026,713666
f4exb/sdrangel,3,126,5.2,401,6223,86646,724849
dcajasn/Riskfolio-Lib,3,19,5.3,0,12,52835,249151
cilium/pwru,3,64,6.6,39,380,33110,240750
Tencent/Tendis,3,711,1.8,169,2724,61853,330111
Cisco-Talos/clamav,3,80,6.8,32,145,38544,210468
Benjamin-Dobell/Heimdall,3,0,4.5,0,10,1419,7088
yyzybb537/libgo,2,3,3.2,8,153,81110,391386
traviscross/mtr,2,35,5.7,15,175,2476,10479
slic3r/Slic3r,2,37,4.1,26,131,14653,106200
json-c/json-c,2,129,7.2,21,211,3120,9130
input-leap/input-leap,2,0,6.8,30,928,18464,56155
inotify-tools/inotify-tools,2,6,5.5,12,90,1476,4608
fukuchi/libqrencode,2,38,4.2,9,166,1708,11780
emilybache/GildedRose-Refactoring-Kata,2,42,5,15,461,103,2820
adnanaziz/EPIJudge,2,-1,4.1,9,468,7174,31362
RainerKuemmerle/g2o,2,0,5.5,38,588,20514,46128
PaddlePaddle/FastDeploy,2,53,4.4,59,912,119397,515990
NLnetLabs/unbound,2,-1,6.8,296,2441,42777,123427
Kobzol/hardware-effects,2,1,3.7,0,34,16,897
CrowCpp/Crow,2,173,6.1,4,45,2761,28861
zyantific/zydis,1,55,6.8,104,385,8220,20289
scarsty/kys-cpp,1,0,5.4,37,541,2750,45347
libffi/libffi,1,26,4.3,4,54,8620,39437
johang/btfs,1,1,4.5,0,32,57,973
dlundquist/sniproxy,1,5,4.3,10,163,1144,5580
cboxdoerfer/fsearch,1,0,5.2,33,735,1017,17030
bombela/backward-cpp,1,26,5.5,0,12,831,3759
aksnzhy/xlearn,1,0,3.5,0,3,24813,62221
Hopson97/MineCraft-One-Week-Challenge,1,12,5,3,125,12068,47076
zeux/pugixml,0,24,5.8,30,433,2056,23713
yandex/odyssey,0,50,6,2,169,3024,35008
xemu-project/xemu,0,1,4.5,11,127,292592,1642878
uncrustify/uncrustify,0,0,6.2,146,685,18244,110326
tomahawk-player/tomahawk,0,0,4.2,0,26,28023,119226
srdja/Collections-C,0,12,5.2,5,295,5802,15933
spring/spring,0,10,4.2,6,78,104983,422319
sharkdp/dbg-macro,0,3,5,0,1,51,1242
raspberrypi/pico-sdk,0,38,4.9,41,487,44739,65648
protobuf-c/protobuf-c,0,5,4.1,56,566,3244,8925
pond3r/ggpo,0,1,5,7,95,1653,4942
otya128/winevdm,0,0,6.7,213,1439,51229,373501
open62541/open62541,0,0,5.5,137,1375,25418,159913
nextcloud/desktop,0,0,7,0,1,20448,108997
microsoft/msquic,0,-1,8.7,134,732,38526,152743
marcj/TypeRunner,0,0,3.9,7,202,17452,30543
lsalzman/enet,0,25,6,14,85,464,4872
khizmax/libcds,0,1,3.8,2,43,41452,142547
jerryscript-project/iotjs,0,3,5.8,6,159,3527,17650
ibireme/yyjson,0,107,5.9,24,114,6836,25683
hyperion-project/hyperion.ng,0,0,5.2,1,12,13507,57261
hydradatabase/hydra,0,0,6.3,19,83,12437,21012
heavyai/heavydb,0,22,3.1,10,74,160085,751499
hanickadot/compile-time-regular-expressions,0,0,4.8,0,5,1693,98304
google/oboe,0,0,6,10,418,21351,55965
gflags/gflags,0,3,5.5,6,76,1319,3954
fastos/fastsocket,0,10,4.1,0,36,1946901,8829834
espressif/ESP8266_RTOS_SDK,0,0,2.9,0,6,76556,294480
davidrmiller/biosim4,0,12,4.5,12,83,1037,3277
clab/dynet,0,2,2.2,0,327,12795,43936
civetweb/civetweb,0,0,5.7,0,3,206848,578130
chrisant996/clink,0,1,5.3,2,5,23446,167082
biometrics/openbr,0,0,5,0,1,48601,218082
baidu/AnyQ,0,0,4.1,2,155,1720,6506
asmjit/asmjit,0,0,5.6,79,456,17268,100481
actor-framework/actor-framework,0,0,7.6,70,1985,18414,118896
aappleby/smhasher,0,6,3.8,3,101,1382,6053
XMuli/QtExamples,0,0,4.4,0,4,1535,7009
ThrowTheSwitch/Unity,0,0,6.2,21,115,1311,15190
ReactiveX/RxCpp,0,0,4.8,0,76,3891,51416
PixlOne/logiops,0,17,4.7,6,270,2224,9393
OpenNMT/CTranslate2,0,0,6.3,0,2,7029,47925
NixOS/patchelf,0,9,4.6,10,57,854,5582
KhronosGroup/Vulkan-Hpp,0,41,5.9,76,488,8557,375860
InoriRus/Kyty,0,0,3.3,196,2054,216620,997170
Dav1dde/glad,0,0,6,2,25,1401,7541
DPDK/dpdk,0,0,5.6,3253,32121,420624,2016714
ChaiScript/ChaiScript,0,121,4.6,1,26,6101,27664
CLIUtils/CLI11,0,895,5.6,0,58,2570,23454
ARM-software/ComputeLibrary,0,9,4.8,0,18,158892,746451
zsh-users/zsh,-1,-1,6.2,-1,-1,27808,110035
zmkfirmware/zmk,-1,-1,6.5,-1,-1,2458,18258
yue/yue,-1,-1,5.1,-1,-1,5186,46912
yshui/picom,-1,0,5.8,-1,-1,5022,25510
yanyiwu/cppjieba,-1,-1,4.6,-1,-1,7610,20687
xtensor-stack/xtensor,-1,-1,5.3,-1,-1,11274,65507
xfangfang/wiliwili,-1,-1,5.3,-1,-1,3636,28820
wine-mirror/wine,-1,-1,6.2,-1,-1,474621,4352632
weechat/weechat,-1,-1,6.6,-1,-1,51455,266428
wang-bin/QtAV,-1,-1,4.2,-1,-1,17476,71849
visualboyadvance-m/visualboyadvance-m,-1,-1,4.9,-1,-1,16707,127625
trustwallet/wallet-core,-1,-1,5.8,-1,-1,18246,115827
tpoechtrager/osxcross,-1,-1,4.8,-1,-1,760,4481
toverainc/willow,-1,-1,5.4,-1,-1,99,3870
tinyobjloader/tinyobjloader,-1,11,4.6,-1,-1,2948,15987
tindy2013/stairspeedtest-reborn,-1,-1,3.8,-1,-1,3644,12289
tiann/FreeReflection,-1,-1,4.1,-1,-1,112,144
the-tcpdump-group/tcpdump,-1,-1,6.4,-1,-1,19957,84769
terralang/terra,-1,-1,3.3,-1,-1,1675,12462
tdlib/telegram-bot-api,-1,-1,6.2,-1,-1,191,16603
sylar-yin/sylar,-1,-1,3.8,-1,-1,7891,43661
subsurface/subsurface,-1,-1,5.6,-1,-1,12561,96609
strawberrymusicplayer/strawberry,-1,-1,4.8,-1,-1,18754,98720
stm32duino/Arduino_Core_STM32,-1,2,6,-1,-1,2432860,6079245
stellar/stellar-core,-1,-1,7.7,-1,-1,119456,407105
srsran/srsRAN_4G,-1,-1,4.6,-1,-1,98995,823856
sorayuki/obs-multi-rtmp,-1,-1,5,-1,-1,4162,19983
solvespace/solvespace,-1,-1,5.5,-1,-1,4799,45839
snes9xgit/snes9x,-1,-1,4.4,-1,-1,31343,250936
shouxieai/tensorRT_Pro,-1,-1,0.6,-1,-1,74290,217042
shogun-toolbox/shogun,-1,-1,4.3,-1,-1,96461,251592
shellinabox/shellinabox,-1,-1,3.9,-1,-1,1785,8729
rttrorg/rttr,-1,-1,4.3,-1,-1,27927,80054
root-project/cling,-1,-1,4,-1,-1,13542,34088
rogerclarkmelbourne/Arduino_STM32,-1,-1,5,-1,-1,74303,114789
riscv-collab/riscv-gnu-toolchain,-1,-1,6.1,-1,-1,68194,102737
rewardone/OSCPRepo,-1,-1,3.2,-1,-1,40817,275901
raysan5/raygui,-1,-1,6.6,-1,-1,2704,13746
rathena/rathena,-1,114,5.5,-1,-1,48037,303374
raspberrypi/pico-examples,-1,-1,5.5,-1,-1,3527,19892
rapidsai/cuml,-1,-1,7.6,-1,-1,8184,40673
randombit/botan,-1,-1,9,-1,-1,42064,163687
qpdf/qpdf,-1,433,6.8,-1,-1,9768,61772
praydog/REFramework,-1,-1,5.1,-1,-1,31173,308016
portapack-mayhem/mayhem-firmware,-1,-1,5.4,-1,-1,147546,374832
pmq20/node-packer,-1,6,1.7,-1,-1,491878,2498902
plasma-umass/coz,-1,-1,4.9,-1,-1,109758,194901
picotorrent/picotorrent,-1,-1,4.8,-1,-1,546,16024
pgbouncer/pgbouncer,-1,-1,5.5,-1,-1,4968,28757
pavel-odintsov/fastnetmon,-1,-1,5.5,-1,-1,7762,45234
paolo-projects/auto-unlocker,-1,-1,4,-1,-1,317,4428
paceholder/nodeeditor,-1,-1,4.9,-1,-1,750,8054
p-ranav/indicators,-1,0,5,-1,-1,528,6172
openscenegraph/OpenSceneGraph,-1,-1,5.8,-1,-1,59738,418739
opengl-tutorials/ogl,-1,0,2.3,-1,-1,102512,359501
onnx/onnx-tensorrt,-1,-1,6.2,-1,-1,3005,16342
oneapi-src/oneDNN,-1,0,8.7,-1,-1,143285,1003777
oclint/oclint,-1,-1,3.8,-1,-1,484,21868
oceanbase/miniob,-1,-1,7.1,-1,-1,9760,33130
occ-ai/obs-backgroundremoval,-1,-1,5.9,-1,-1,207,2257
obsproject/obs-websocket,-1,-1,5.3,-1,-1,5338,8517
obs-ndi/obs-ndi,-1,-1,5.6,-1,-1,1268,3694
ntop/nDPI,-1,-1,6.1,-1,-1,27267,116917
nodejs/node-addon-examples,-1,-1,7,-1,-1,533,4332
nodejs/nan,-1,0,6.7,-1,-1,820,9238
node-webrtc/node-webrtc,-1,-1,5.6,-1,-1,1145,8678
nmslib/nmslib,-1,-1,2.4,-1,-1,6239,30148
nigels-com/glew,-1,-1,5.1,-1,-1,420,3623
nicolasff/webdis,-1,-1,4.6,-1,-1,3208,16916
ndrplz/self-driving-car,-1,4,2.1,-1,-1,63980,233966
nanocurrency/nano-node,-1,15,6.8,-1,-1,12502,146281
mriscoc/Ender3V2S1,-1,-1,3.6,-1,-1,157371,361379
mpromonet/webrtc-streamer,-1,-1,5.3,-1,-1,422,4175
mmp/pbrt-v4,-1,-1,5.2,-1,-1,15707,356350
mit-nlp/MITIE,-1,-1,2.5,-1,-1,105197,302181
microsoft/wil,-1,-1,8.5,-1,-1,10358,59076
microsoft/service-fabric,-1,-1,6.2,-1,-1,248997,2073250
microsoft/ebpf-for-windows,-1,-1,7.7,-1,-1,40630,186249
microsoft/checkedc,-1,-1,5.7,-1,-1,7177,17832
microsoft/bond,-1,-1,5.4,-1,-1,3325,39600
microsoft/DirectXTK,-1,-1,8.1,-1,-1,3634,36893
microsoft/DirectXShaderCompiler,-1,-1,5.8,-1,-1,431418,1605841
me-no-dev/ESPAsyncWebServer,-1,-1,4.5,-1,-1,531,5079
mavlink/qgroundcontrol,-1,-1,4.3,-1,-1,39315,146567
mapnik/mapnik,-1,0,5.5,-1,-1,28917,160727
maestron/botnets,-1,-1,1.9,-1,-1,168653,1242936
mabeijianxi/small-video-record,-1,-1,2.4,-1,-1,154277,952487
lynckia/licode,-1,-1,3.6,-1,-1,15348,66203
libarchive/libarchive,-1,-1,8.2,-1,-1,44982,162415
letscontrolit/ESPEasy,-1,-1,6.3,-1,-1,68404,368163
kungfu-origin/kungfu,-1,-1,3,-1,-1,21584,64309
km1994/nlp_paper_study,-1,-1,3.8,-1,-1,6555,32863
klee/klee,-1,-1,7.2,-1,-1,11530,48764
kasmtech/KasmVNC,-1,-1,4.5,-1,-1,13429,60119
jupyter-xeus/xeus-cling,-1,-1,5.3,-1,-1,419,2492
jrowberg/i2cdevlib,-1,-1,4.8,-1,-1,42914,46571
jp9000/OBS,-1,-1,2.8,-1,-1,27195,504845
jolibrain/deepdetect,-1,-1,5.7,-1,-1,12295,77285
jellyfin/jellyfin-media-player,-1,-1,5.7,-1,-1,1565,12138
irssi/irssi,-1,-1,6,-1,-1,7968,64438
iqiyi/xCrash,-1,-1,3.9,-1,-1,4653,30880
introlab/rtabmap,-1,-1,5.4,-1,-1,98697,319207
include-what-you-use/include-what-you-use,-1,-1,6.2,-1,-1,15735,17935
iNavFlight/inav,-1,0,5.8,-1,-1,579212,1228925
htacg/tidy-html5,-1,-1,3,-1,-1,10604,43575
helio-fm/helio-sequencer,-1,-1,5.7,-1,-1,14367,89602
hasherezade/pe-sieve,-1,-1,4.8,-1,-1,1168,15566
hasherezade/pe-bear,-1,-1,5.5,-1,-1,654,21718
greenbone/openvas-scanner,-1,-1,6.5,-1,-1,8815,39796
gozfree/gear-lib,-1,-1,4.6,-1,-1,29847,103185
google/robotstxt,-1,-1,8.1,-1,-1,562,1879
google/perfetto,-1,-1,4.3,-1,-1,59109,260032
google/breakpad,-1,-1,7,-1,-1,43357,122066
giuspen/cherrytree,-1,-1,5.6,-1,-1,9191,118088
githubhaohao/NDK_OpenGLES_3_0,-1,-1,4,-1,-1,79409,111482
gioblu/PJON,-1,-1,5.2,-1,-1,2449,8813
gdbinit/MachOView,-1,-1,4.4,-1,-1,46021,162548
fwupd/fwupd,-1,-1,9.1,-1,-1,45829,226460
foobnix/LibreraReader,-1,-1,4.1,-1,-1,49601,255886
flutter-webrtc/flutter-webrtc,-1,-1,5.7,-1,-1,1457,9989
fibjs/fibjs,-1,-1,4.6,-1,-1,5717,123600
fancycode/MemoryModule,-1,-1,4.3,-1,-1,221,1601
facebookincubator/velox,-1,3,5.3,-1,-1,94455,763370
facebook/wdt,-1,-1,6.7,-1,-1,4817,17020
facebook/wangle,-1,-1,6.3,-1,-1,6903,22076
facebook/mcrouter,-1,-1,7.9,-1,-1,16519,97972
facebook/fbthrift,-1,2,8.5,-1,-1,76744,828282
ethz-asl/maplab,-1,-1,4,-1,-1,12164,121141
eteran/edb-debugger,-1,-1,5.2,-1,-1,14652,49102
espruino/Espruino,-1,-1,6.4,-1,-1,447437,987464
enjoy-digital/litex,-1,-1,6,-1,-1,2896,37455
emojicode/emojicode,-1,-1,4,-1,-1,6472,46246
eclipse-threadx/threadx,-1,-1,6.8,-1,-1,127823,226955
dpilger26/NumCpp,-1,0,5,-1,-1,35905,49887
domoticz/domoticz,-1,-1,5.3,-1,-1,25650,224181
dekuNukem/Nintendo_Switch_Reverse_Engineering,-1,-1,3.4,-1,-1,33006,49358
defold/defold,-1,-1,5.8,-1,-1,137269,513747
daquexian/onnx-simplifier,-1,-1,5.4,-1,-1,97,2918
danielkrupinski/Osiris,-1,0,5.8,-1,-1,11,10821
cyberbotics/webots,-1,-1,5.5,-1,-1,68511,291791
containers/bubblewrap,-1,-1,5.9,-1,-1,664,4204
clementine-player/Clementine,-1,-1,4.8,-1,-1,67441,256571
ckb-next/ckb-next,-1,-1,4.6,-1,-1,5285,33035
chrxh/alien,-1,-1,5,-1,-1,1581,54905
chromiumembedded/cef,-1,-1,6.2,-1,-1,86990,247938
cesanta/mongoose-os,-1,-1,2.9,-1,-1,10855,27967
cdcseacave/openMVS,-1,-1,5,-1,-1,20024,83810
canonical/dqlite,-1,-1,5.9,-1,-1,11557,58824
cameron314/readerwriterqueue,-1,0,5.3,-1,-1,477,3335
bytedance/lightseq,-1,-1,4.3,-1,-1,3406,35380
bvschaik/julius,-1,-1,5.6,-1,-1,3518,112752
bozbez/win-capture-audio,-1,-1,4,-1,-1,14,1515
borglab/gtsam,-1,261,6.1,-1,-1,154275,465188
blynkkk/blynk-library,-1,-1,3.8,-1,-1,1676,14677
bloomberg/blazingmq,-1,0,7.9,-1,-1,164140,406804
blinker-iot/blinker-esp-idf,-1,-1,4.2,-1,-1,7307,14720
bitfieldaudio/OTTO,-1,-1,4.3,-1,-1,3690,26212
banach-space/llvm-tutor,-1,-1,-1,-1,-1,1058,1468
balloonwj/flamingo,-1,-1,1.9,-1,-1,28071,157632
baidu/openrasp,-1,-1,2.3,-1,-1,14230,47978
baidu/lac,-1,-1,4.2,-1,-1,566,2061
baidu/braft,-1,-1,6.9,-1,-1,3875,28627
axel-download-accelerator/axel,-1,-1,5,-1,-1,1225,3671
asb2m10/dexed,-1,-1,5.2,-1,-1,2349,8572
arximboldi/immer,-1,-1,6.4,-1,-1,5044,35276
arthenica/ffmpeg-kit,-1,-1,5.1,-1,-1,7097,22173
apitrace/apitrace,-1,-1,5.5,-1,-1,19253,273398
apache/singa,-1,-1,6.4,-1,-1,15700,48768
apache/httpd,-1,-1,6.5,-1,-1,66266,242242
apache/guacamole-server,-1,52,7.4,-1,-1,40837,34613
andreasfertig/cppinsights,-1,-1,5.3,-1,-1,2300,17453
amzeratul/halley,-1,-1,6.2,-1,-1,27801,303913
alicevision/AliceVision,-1,-1,6.3,-1,-1,38236,147718
alibaba/euler,-1,-1,3.9,-1,-1,4675,30733
alibaba/GraphScope,-1,-1,4.3,-1,-1,15910,131833
alexkay/spek,-1,-1,4,-1,-1,108,2706
albfan/miraclecast,-1,81,3.9,-1,-1,2124,21027
abumq/easyloggingpp,-1,0,3.8,-1,-1,1387,11456
aardappel/treesheets,-1,-1,6.4,-1,-1,10570,95846
YosysHQ/yosys,-1,-1,5.8,-1,-1,15236,153083
Xaymar/obs-StreamFX,-1,-1,4.4,-1,-1,2992,53958
WrBug/dumpDex,-1,-1,3.5,-1,-1,216,1816
WizTeam/WizQTClient,-1,0,3.7,-1,-1,82559,276383
Warzone2100/warzone2100,-1,0,4.9,-1,-1,48557,288242
WAVM/WAVM,-1,179,2.1,-1,-1,9889,75790
Vita3K/Vita3K,-1,0,6.2,-1,-1,21279,134433
TixiaoShan/LIO-SAM,-1,-1,4,-1,-1,224,2670
Tencent/phxsql,-1,-1,3.1,-1,-1,9175,38568
Sysinternals/ProcMon-for-Linux,-1,-1,6.1,-1,-1,83617,164104
Simple-XX/SimpleKernel,-1,0,4.6,-1,-1,11427,27641
SeriousCache/UABE,-1,-1,3,-1,-1,9982,76458
STEllAR-GROUP/hpx,-1,0,7,-1,-1,124219,520553
RobotLocomotion/drake,-1,0,4.1,-1,-1,187160,500764
ROCm/HIP,-1,-1,4.8,-1,-1,7762,3236
Qihoo360/evpp,-1,-1,5.4,-1,-1,12287,47106
PabloMK7/citra,-1,0,4.5,-1,-1,31295,318833
Overv/VulkanTutorial,-1,-1,5.5,-1,-1,13,22598
OpenSC/OpenSC,-1,-1,6.8,-1,-1,24002,179019
OpenKinect/libfreenect,-1,-1,2.1,-1,-1,4767,17006
Nukem9/dlssg-to-fsr3,-1,-1,4.5,-1,-1,197,4075
NVlabs/tiny-cuda-nn,-1,-1,5,-1,-1,10744,33536
NVIDIAGameWorks/PhysX,-1,-1,2.8,-1,-1,110630,437642
Motion-Project/motion,-1,86,4.4,-1,-1,6864,26430
MisterTea/EternalTerminal,-1,-1,5.6,-1,-1,830,9486
MasteringOpenCV/code,-1,-1,4.1,-1,-1,16668,44204
