repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
rizinorg/rizin,849,126,7,2681,17789,82567,774664
DescentDevelopers/Descent3,781,81,4.6,1037,8151,364910,483104
xroche/httrack,626,362,4.1,164,672,9541,47434
F-Stack/f-stack,576,476,5.2,2993,35147,1226972,4671091
ApsaraDB/PolarDB-for-PostgreSQL,545,-1,5.5,3208,20098,517121,1238989
RfidResearchGroup/proxmark3,457,1004,6.3,1134,9246,89261,326927
unicode-org/icu,349,1624,8.5,813,7439,240215,987163
HarbourMasters/Shipwright,311,-1,5.9,1297,13508,21318,494948
acl-dev/acl,295,679,4.4,526,9818,179693,510796
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20850,1679506,5601445
coronalabs/corona,241,364,3.9,763,9060,340776,1046579
steveicarus/iverilog,231,945,5.9,414,5138,38849,176629
openvenues/libpostal,213,-1,3.3,185,1184,6733,583235
containers/crun,212,629,7.4,278,1181,2957,28080
surge-synthesizer/surge,203,13,5,601,5905,108845,351073
BespokeSynth/BespokeSynth,195,891,6.2,217,3245,29129,181582
iree-org/iree,185,19,5.6,5354,84146,80499,332716
ptitSeb/box64,177,0,4.2,1702,29249,39556,236542
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
CloudCompare/CloudCompare,132,235,5.6,632,5134,71122,272064
OpenXRay/xray-16,126,69,4.1,880,15291,122954,750656
espeak-ng/espeak-ng,125,167,5.2,104,501,4981,45452
ptitSeb/box86,120,0,4.6,360,5085,35324,152398
hanwckf/rt-n56u,116,332,2.5,230,2417,3308594,16228099
facebook/igl,109,-1,-1,758,5361,13529,75531
TASEmulators/desmume,105,-1,3.9,659,6100,121197,461747
joncampbell123/dosbox-x,102,1123,6.7,716,5302,323113,1730602
sleuthkit/sleuthkit,101,532,6.9,396,2439,94710,198536
acassen/keepalived,101,182,5.9,179,1369,11132,67436
vifm/vifm,94,-1,6.1,124,3751,28529,175370
util-linux/util-linux,85,-1,7.7,564,4666,34155,174093
iqiyi/dpvs,81,158,6,147,1149,19614,119904
varnishcache/varnish-cache,75,347,5.4,1343,2987,26922,110332
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,390880,1114586
